"Sym_A","Sym_B","PPI score"
"ABCC8","KCNJ11","1.0000"
"CYFIP2","WASF1","1.0000"
"ARHGDIB","RAC2","1.0000"
"RAD51","VIM","1.0000"
"FLNC","MYOT","1.0000"
"KCNAB1","KCNA2","1.0000"
"ANK3","SCN2A","1.0000"
"BUB1B","ZWINT","1.0000"
"OSM","OSMR","1.0000"
"CDKN1A","DTL","1.0000"
"ITGB2","SYK","1.0000"
"KIF23","PRC1","1.0000"
"CDKN1A","PCNA","1.0000"
"FZD9","MDFI","1.0000"
"SPC25","ZWINT","1.0000"
"CHEK2","KPNA2","1.0000"
"SPC24","SPC25","1.0000"
"DUSP26","HSF4","1.0000"
"LILRB4","PTPN6","1.0000"
"DNM1","SH3GL3","1.0000"
"DNM1","GRIN1","1.0000"
"DNM1","PACSIN1","1.0000"
"CRY2","TIMELESS","1.0000"
"SPC24","ZWINT","1.0000"
"CCNA2","CDK2","1.0000"
"KIF4A","PRC1","1.0000"
"CCNA2","CDT1","1.0000"
"CCNA2","CDK1","1.0000"
"CCNA2","CDC6","1.0000"
"GPRASP1","PBK","1.0000"
"GPRASP1","TAC3","1.0000"
"MAD1L1","MAD2L1","1.0000"
"CHEK1","TIMELESS","1.0000"
"BSN","ERC2","1.0000"
"CHEK1","CDC25A","1.0000"
"GPRASP1","STMN2","1.0000"
"CDK5R1","CDK5RAP3","1.0000"
"CDC6","MCM2","1.0000"
"CDC6","CDT1","1.0000"
"CDC6","ORC1","1.0000"
"CDC6","CDKN1A","1.0000"
"CDC6","MYC","1.0000"
"DYNC1I1","DYNLRB1","1.0000"
"KCNAB2","KCNA2","1.0000"
"CDC6","CDK2","1.0000"
"NMI","SOX10","1.0000"
"CDCA7L","MYC","1.0000"
"RAD51AP1","RAD51","1.0000"
"HLA-DQA1","HLA-DQB1","0.9999"
"NTN1","UNC5A","0.9999"
"HLA-A","B2M","0.9999"
"CCNB1","CDC25A","0.9999"
"TREM2","TYROBP","0.9999"
"HECW1","TP53","0.9999"
"PTK2B","KCNA2","0.9999"
"CCL3","CCR1","0.9999"
"CAMK2B","GRIN2B","0.9999"
"MIF","TP53","0.9999"
"PLK1","PKMYT1","0.9999"
"EXO1","PCNA","0.9999"
"LMNB1","ZWINT","0.9999"
"GABARAPL1","STBD1","0.9999"
"PLK1","SGOL1","0.9999"
"CHRM1","GPRASP1","0.9999"
"CRHR1","GNAO1","0.9999"
"LIN37","MYBL2","0.9999"
"HLA-C","CXCR4","0.9999"
"CCL4","CCR5","0.9999"
"CD163","CSNK2B","0.9999"
"ABHD5","PLIN1","0.9999"
"TP53","TTK","0.9999"
"HLA-B","B2M","0.9999"
"DLG4","FZD7","0.9999"
"CDK2","PRC1","0.9999"
"CDK2","CDKN1A","0.9999"
"PRKCG","TOP2A","0.9999"
"CDK2","TSPYL2","0.9999"
"PRKCG","STXBP1","0.9999"
"BARD1","RAD50","0.9999"
"CD4","HLA-DQB1","0.9999"
"CD63","TIMP1","0.9999"
"EGR1","EZH2","0.9999"
"GNAO1","RGS1","0.9999"
"ARRB1","SLC9A5","0.9999"
"ARRB1","C5AR1","0.9999"
"CDK1","TP53","0.9999"
"CENPH","KIF2C","0.9999"
"CDK1","PBK","0.9999"
"STX1A","STXBP5","0.9999"
"CBFA2T3","RUNX1T1","0.9999"
"PRKCB","STXBP1","0.9999"
"MMP14","SPOCK3","0.9999"
"PRKCB","TOP2A","0.9999"
"CDC45","CDK2","0.9999"
"CXCR4","PTPN6","0.9999"
"STX1B","STXBP1","0.9999"
"CACNA1A","RIMBP2","0.9999"
"CLCF1","CRLF1","0.9999"
"CDC25C","PLK1","0.9999"
"TGFBI","FN1","0.9999"
"B2M","FCGRT","0.9999"
"SYK","SNCA","0.9998"
"GABBR1","JAKMIP1","0.9998"
"NCF1","NOXA1","0.9998"
"CCNA1","CDC25A","0.9998"
"CNKSR2","DLG4","0.9998"
"AR","SMAD1","0.9998"
"SNAP25","VAMP2","0.9998"
"PKD1","VIM","0.9998"
"CCNB1","TSPYL2","0.9998"
"SKA1","SKA3","0.9998"
"CCNB1","CDC25C","0.9998"
"MCM5","ORC1","0.9998"
"CABLES1","CDK3","0.9998"
"AIF1","LCP1","0.9998"
"PSMA1","PSMA6","0.9998"
"PLAUR","PLAU","0.9998"
"MND1","RAD51","0.9998"
"MCM2","ORC1","0.9998"
"DLG4","GRIN2B","0.9998"
"PSMA2","PSMB8","0.9998"
"CAMK1","CAMKK1","0.9998"
"CDK2","CDC25A","0.9998"
"RPLP0","TRAPPC6B","0.9998"
"SMAD1","UCHL3","0.9998"
"TRIM5","ZWINT","0.9998"
"SMAD1","ZCCHC12","0.9998"
"ANXA1","EGFR","0.9998"
"SERPINE1","PLAU","0.9998"
"CDK1","VIM","0.9998"
"KCNA2","PCNA","0.9998"
"COL5A1","COL5A2","0.9998"
"CDK1","MYC","0.9998"
"PYGM","S100A1","0.9998"
"HLA-DMA","HLA-DMB","0.9998"
"CAMK2A","LRRC7","0.9998"
"CHEK2","CDC25A","0.9998"
"C1R","C1S","0.9998"
"CHEK1","TP53","0.9998"
"CHEK1","CDC25C","0.9998"
"AKAP5","GABRB3","0.9998"
"CDC6","PCNA","0.9998"
"B2M","CALR","0.9998"
"B2M","HFE","0.9998"
"EGFR","ICAM1","0.9998"
"SYK","TUBA4A","0.9997"
"RABAC1","RAB3A","0.9997"
"PPP3CA","RCAN2","0.9997"
"CABLES1","TP53","0.9997"
"CACNA1C","RIMS1","0.9997"
"F13A1","FN1","0.9997"
"DLG4","ERBB4","0.9997"
"GABRB2","PPP3CA","0.9997"
"AURKB","SGOL1","0.9997"
"CDC20","CDC6","0.9997"
"KLK6","SNCA","0.9997"
"CHEK2","GINS2","0.9997"
"FGF17","FGFR3","0.9997"
"CALR","PDIA2","0.9997"
"CEP55","PLK1","0.9997"
"CARD16","CASP1","0.9997"
"RABAC1","RIMS2","0.9996"
"ANXA2","S100A4","0.9996"
"SYK","NFAM1","0.9996"
"NTN1","UNC5C","0.9996"
"DTL","PCNA","0.9996"
"CCNB1","PBK","0.9996"
"ADAP1","PRKCE","0.9996"
"KIF5A","KLC1","0.9996"
"TP53","PBK","0.9996"
"S100A1","S100A4","0.9996"
"CDK2","PPM1B","0.9996"
"CDK2","PCNA","0.9996"
"C3","VSIG4","0.9996"
"CDK1","PRC1","0.9996"
"MYC","SMC4","0.9996"
"CYBB","NCF2","0.9996"
"STX1A","STXBP1","0.9996"
"CDC20","CDT1","0.9996"
"IGF2BP2","MYC","0.9996"
"HLA-DRA","MBP","0.9996"
"BUB1B","CDK1","0.9996"
"MAD2L1","SNRPN","0.9996"
"ITGB2","PLAUR","0.9996"
"RAB15","RPH3A","0.9996"
"ACTC1","TNNI3K","0.9996"
"ATP1B1","EGFR","0.9996"
"EGFR","TUBA4A","0.9996"
"CDC6","CDK1","0.9996"
"PRKCZ","NCF1","0.9996"
"ID3","RUNX1T1","0.9996"
"EGFR","HOXC10","0.9996"
"CCNB1","FOXM1","0.9995"
"NOS1AP","SYN2","0.9995"
"PRKCE","TRPV1","0.9995"
"PRKCG","NOXA1","0.9995"
"CD44","FN1","0.9995"
"FN1","IGFBP3","0.9995"
"CENPH","NDC80","0.9995"
"CDK1","TK1","0.9995"
"MAPK11","SOCS3","0.9995"
"CDK1","CSNK2B","0.9995"
"HLA-DRB1","CD4","0.9995"
"PCBP1","RBM11","0.9995"
"KPNA2","TAF10","0.9995"
"MSN","NCF1","0.9995"
"CAV1","EGFR","0.9995"
"CCL2","CCR5","0.9995"
"CCNA2","TP73","0.9995"
"MAD1L1","NDC80","0.9995"
"B2M","HLA-G","0.9995"
"NCAPH","SMC4","0.9995"
"AR","CAV1","0.9994"
"CENPA","CENPM","0.9994"
"CENPA","CENPH","0.9994"
"RIMS1","STX1A","0.9994"
"CDCA8","TTK","0.9994"
"FCER1G","SYK","0.9994"
"CCL4","CCR1","0.9994"
"PRKCG","GRIN2B","0.9994"
"CDK2","TP73","0.9994"
"CXCL10","IGFBP7","0.9994"
"CDK1","FBXO5","0.9994"
"SERPINE1","VTN","0.9994"
"PLK4","RAD51","0.9994"
"BUB1B","SGOL1","0.9994"
"CCNA2","CDC25C","0.9994"
"PRKCZ","MBP","0.9994"
"CCNA1","CDC20","0.9993"
"AR","IFI16","0.9993"
"CDK2","PSMD9","0.9993"
"RALGDS","RIT2","0.9993"
"ARRB1","PPM1B","0.9993"
"BTK","PRKCZ","0.9993"
"FN1","IGFBP5","0.9993"
"CYTH4","IPCEF1","0.9993"
"FN1","TNC","0.9993"
"BTK","PIP4K2A","0.9993"
"MYC","TP73","0.9993"
"DRD1","GRIN1","0.9993"
"BUB1B","UBE2C","0.9993"
"MAD2L1","NDC80","0.9993"
"COL4A1","NID1","0.9993"
"CRY2","PER3","0.9993"
"TAB2","TLR3","0.9993"
"MAP1A","TUBA4A","0.9992"
"CCNB1","PKMYT1","0.9992"
"ALOX5AP","LTC4S","0.9992"
"CD14","TLR2","0.9992"
"CISH","PRKCB","0.9992"
"PIK3AP1","BTK","0.9992"
"CDK2","PSMA6","0.9992"
"PIK3AP1","SYK","0.9992"
"ITGA4","TGFB1I1","0.9992"
"ARRB1","PTH1R","0.9992"
"CACNA1B","GNAO1","0.9992"
"GIT2","TGFB1I1","0.9992"
"PRKCB","GRIN2B","0.9992"
"CDC45","CHEK1","0.9992"
"C1QA","PTX3","0.9992"
"GNL3L","TP53","0.9992"
"CHEK1","CSNK2B","0.9992"
"AR","CDK1","0.9991"
"EXO1","STXBP1","0.9991"
"KIF5A","KIF5C","0.9991"
"BARD1","TP53","0.9991"
"CD4","SYK","0.9991"
"ST3GAL3","TTR","0.9991"
"CDT1","MCM2","0.9991"
"SRPX2","PLAUR","0.9991"
"CDK1","DLGAP5","0.9991"
"CCNA2","CDKN1A","0.9991"
"CCNA1","CDK2","0.9990"
"VAMP2","VAMP8","0.9990"
"CCNB1","WEE1","0.9990"
"CAMK2B","RXRG","0.9990"
"PABPN1","PCBP1","0.9990"
"BEGAIN","DLG4","0.9990"
"CDK2","ORC1","0.9990"
"CDK2","MCM2","0.9990"
"RPL26","RPLP0","0.9990"
"TFPI","PRSS3","0.9990"
"CDK2","MCM5","0.9990"
"PSMA2","PSMB9","0.9990"
"PSMA2","PSMB10","0.9990"
"SMAD1","SMARCE1","0.9990"
"CALY","DRD1","0.9990"
"FN1","MMP9","0.9990"
"RAD50","RAD51","0.9990"
"CENPH","NUF2","0.9990"
"BUB1","CENPF","0.9990"
"STX1A","VAMP8","0.9990"
"STX1A","VAMP2","0.9990"
"PPP3R1","PPP3CA","0.9990"
"BUB1","SGOL1","0.9990"
"COL1A1","COL1A2","0.9990"
"COL1A1","FCER1G","0.9990"
"SH3GL2","SLC17A7","0.9990"
"BIRC5","PLK1","0.9990"
"BUB1B","MAD2L1","0.9990"
"BUB1B","CDC20","0.9990"
"COL1A2","FCER1G","0.9990"
"CHEK2","CDC25C","0.9990"
"TAF10","GTF2H4","0.9990"
"AR","SMARCE1","0.9989"
"CDCA8","KIF20A","0.9989"
"DLG4","DLGAP3","0.9989"
"CDK1","CEP55","0.9989"
"ASF1B","MCM2","0.9989"
"KIF20A","PRC1","0.9989"
"IQGAP2","CAMKK2","0.9989"
"PTPRN","PTPRT","0.9988"
"ELF4","RUNX1","0.9988"
"CCNB1","FBXO5","0.9988"
"PRKCE","GRIN1","0.9988"
"ARRB1","DNM1","0.9988"
"KPNA2","TP53","0.9988"
"ENPEP","CCK","0.9988"
"MMP9","TFPI","0.9988"
"FOXM1","PLK1","0.9988"
"MAD1L1","NEK2","0.9988"
"ANGPT2","CDKN1A","0.9988"
"FANCI","CAMKK2","0.9987"
"IGFBP3","MMP2","0.9987"
"PLEKHB1","SMAD1","0.9987"
"DOC2A","STXBP1","0.9987"
"CDCA5","PLK1","0.9987"
"RBM24","RBFOX1","0.9987"
"CELF3","PCBP1","0.9987"
"HLA-DQA2","HLA-DQB1","0.9987"
"CDK5R1","CHN1","0.9987"
"RAB3C","RIMS1","0.9986"
"TNNT1","VIM","0.9986"
"TP53","S100A4","0.9986"
"NUF2","SPC25","0.9986"
"CD44","COL1A2","0.9986"
"CDK1","TP73","0.9986"
"BTK","FCER1G","0.9986"
"BRSK2","CDC25C","0.9986"
"BRSK2","WEE1","0.9986"
"CHEK2","RAD50","0.9986"
"HOXA10","SPI1","0.9986"
"KCNJ6","KCNJ9","0.9985"
"DLGAP3","PTK2B","0.9985"
"FN1","THBS1","0.9985"
"ASF1B","IPO4","0.9985"
"ANXA2","TP53","0.9984"
"RAB3C","RPH3A","0.9984"
"POMC","NPY","0.9984"
"C1QB","C1R","0.9984"
"BCL2A1","BOK","0.9984"
"ARRB1","PTAFR","0.9984"
"CDK1","RCC1","0.9984"
"BIRC5","FOXM1","0.9984"
"GRIN2A","GRIN1","0.9984"
"CAMK2A","GRIN2A","0.9984"
"ADRB1","GPRASP1","0.9984"
"TNK2","AR","0.9984"
"EGFR","TRPV1","0.9984"
"CDC6","MCM5","0.9984"
"ITGA5","ARHGAP5","0.9983"
"HOXA5","TWIST1","0.9983"
"SV2B","SYT1","0.9983"
"BSN","RIMS1","0.9983"
"CD300LF","PTPN6","0.9983"
"BSN","UNC13A","0.9983"
"CCNB1","MAD2L1","0.9982"
"PLK1","TPX2","0.9982"
"GTSE1","PLK1","0.9982"
"AURKB","NCAPH","0.9982"
"MMP2","TIMP4","0.9982"
"CDC20","MAD1L1","0.9982"
"KCNQ2","KCNQ3","0.9982"
"KCNA1","KCNA2","0.9981"
"ACTA1","TNNI3K","0.9981"
"CACNA1B","CACNB3","0.9981"
"FN1","MAG","0.9981"
"IL1B","MMP2","0.9981"
"KPNA2","MYC","0.9981"
"IGFBP5","IGF2","0.9981"
"TP53","TP73","0.9980"
"KIF2C","PLK1","0.9980"
"CDK2","WEE1","0.9980"
"CDK4","CDC25A","0.9980"
"GNAO1","S1PR5","0.9980"
"CDK1","PSMA6","0.9980"
"SERPINE1","PLAUR","0.9980"
"CDK1","UBE2C","0.9980"
"CDK1","NEK2","0.9980"
"FN1","TGFB1","0.9980"
"BUB1","KIF11","0.9980"
"CDK3","CDKN3","0.9980"
"CDC45","CDT1","0.9980"
"CDC45","CDC6","0.9980"
"SST","SSTR1","0.9980"
"CDC45","POLE2","0.9980"
"GOT1","EGFR","0.9980"
"CCNA2","CDC25A","0.9980"
"IQGAP2","MYC","0.9980"
"CHEK1","WEE1","0.9980"
"HLA-DMB","HLA-DRA","0.9979"
"SRCIN1","SYP","0.9979"
"ASPM","PLK1","0.9979"
"CNTN2","EGFR","0.9979"
"BTK","PRKCB","0.9979"
"CENPH","CENPK","0.9979"
"CHD4","MYC","0.9979"
"SNAP25","SYT1","0.9978"
"CCNB1","CDKN1A","0.9978"
"CENPA","CENPK","0.9978"
"FANCD2","MYC","0.9978"
"CDC20","CDKN1A","0.9978"
"SH3GL2","SYNJ2","0.9978"
"CAV1","PTPN6","0.9978"
"CALR","THBS1","0.9978"
"FANCD2","RAD51","0.9977"
"CD4","HLA-DPA1","0.9977"
"COL5A1","SPARC","0.9977"
"MYC","PSMA2","0.9977"
"FLNC","CAMKK2","0.9977"
"IQGAP3","MYC","0.9976"
"IPO4","MYC","0.9976"
"CCNB1","PCNA","0.9976"
"CDCA8","KIF2C","0.9976"
"FKBP1B","RYR2","0.9976"
"CDK4","CDT1","0.9976"
"ELN","LOXL1","0.9976"
"MYC","PSMA1","0.9976"
"MYC","PLOD3","0.9976"
"MYC","SLIT2","0.9976"
"CAV1","F2R","0.9976"
"EGFR","RAB3A","0.9976"
"EGFR","PTGDS","0.9976"
"RXRG","CHGB","0.9975"
"AURKB","CDC20","0.9975"
"CASP4","IL1B","0.9975"
"COL4A1","NID2","0.9975"
"SYK","TYROBP","0.9974"
"CAMTA2","NKX2-5","0.9974"
"DLG4","LGI1","0.9974"
"CEND1","EGFR","0.9974"
"SYN1","SYN2","0.9974"
"ACTA1","AIF1","0.9974"
"FN1","SPARC","0.9974"
"COL1A1","NID2","0.9974"
"FAM153A","PLOD3","0.9974"
"SH3GL2","SYN1","0.9974"
"EGFR","MAST1","0.9974"
"NCF1","WASF1","0.9973"
"PPP2R2C","CDCA4","0.9973"
"PAK7","RAD51","0.9973"
"CTSS","SLPI","0.9973"
"PSMA6","PSMB10","0.9973"
"CNTN3","MSN","0.9973"
"CDCA8","SGOL1","0.9972"
"LMNB1","MELK","0.9972"
"CDCA8","CENPA","0.9972"
"MCM2","PLK1","0.9972"
"FAM131C","VSNL1","0.9972"
"FAM131C","GRN","0.9972"
"FN1","LGALS3BP","0.9972"
"FN1","HSPG2","0.9972"
"BIRC5","CENPA","0.9972"
"COL4A1","THBS1","0.9972"
"CALR","PLP1","0.9972"
"GAD1","PRKCE","0.9971"
"CAV1","NGFR","0.9971"
"RBP4","RPE65","0.9970"
"SERPINA1","MMP11","0.9970"
"BRSK1","CDC25C","0.9970"
"PSMB8","PSMB9","0.9970"
"ABI3","CYFIP2","0.9970"
"ACTA1","SCIN","0.9970"
"PCNA","TYMS","0.9970"
"RRM2","TYMS","0.9970"
"BTK","CMTM3","0.9970"
"CDC20","TP73","0.9970"
"CNKSR1","MAP3K10","0.9970"
"CDC45","GINS2","0.9970"
"BIRC5","CDC20","0.9970"
"CTRL","PSMB9","0.9970"
"CHEK2","TP53","0.9970"
"SH3GL3","VIM","0.9970"
"CHEK1","DTL","0.9970"
"CCNA2","WEE1","0.9970"
"KCNAB2","KCNA1","0.9970"
"DLGAP5","KIF11","0.9970"
"CCNA1","CDKN1A","0.9969"
"HCK","PLAUR","0.9969"
"TP53","TGFB1","0.9969"
"CBFA2T3","RUNX1","0.9969"
"BUB1B","TP73","0.9969"
"HLA-DRA","HLA-DRB5","0.9969"
"BUB1B","PTTG1","0.9969"
"BUB1B","PLK1","0.9969"
"CDCA8","KIF23","0.9968"
"TP53","SENP3","0.9968"
"IL1RAP","IL1B","0.9968"
"SERPINE1","TGFB1","0.9968"
"BIRC5","KIF20A","0.9968"
"CDC6","CDK3","0.9968"
"PTK2B","FGFR3","0.9967"
"FAM131C","MAD1L1","0.9967"
"CCNB2","CKS2","0.9967"
"ACTA1","EGFR","0.9967"
"CCR5","GNAO1","0.9967"
"LGALS3BP","NID1","0.9967"
"CAMK2A","GRIN1","0.9967"
"HLA-A","B2M","0.9966"
"HLA-A","CALR","0.9966"
"MKI67","TK1","0.9966"
"CDK2","CDC25C","0.9966"
"HLA-DRB1","HLA-DRA","0.9966"
"SERPINA1","PRSS3","0.9965"
"CACNA1C","CACNB1","0.9965"
"S100A1","SYN1","0.9965"
"NUF2","SPC24","0.9965"
"MAPK8IP2","KLC1","0.9965"
"BTK","PRKCE","0.9965"
"CDK1","NES","0.9965"
"C1QA","FN1","0.9965"
"EGFR","PCNA","0.9965"
"SYK","MSN","0.9964"
"KCNJ3","KCNJ9","0.9964"
"KCNJ3","KCNJ6","0.9964"
"CRH","ADCYAP1","0.9964"
"CDK1","MYBL2","0.9964"
"HPSE","SDC1","0.9964"
"BIRC5","KIF2C","0.9964"
"BIRC5","KIF23","0.9964"
"CKS2","LDHB","0.9963"
"TRIM17","ZWINT","0.9963"
"ANXA2","PLA1A","0.9962"
"ANXA2","PRKCB","0.9962"
"ADAP2","SNCA","0.9962"
"NOS1","SYN1","0.9962"
"GRM7","TUBA4A","0.9962"
"CABLES1","TP73","0.9962"
"PTK2B","SNCA","0.9962"
"GABARAPL1","SNCA","0.9962"
"TNFAIP6","THBS1","0.9962"
"ARHGAP15","SNCA","0.9962"
"CAMK1","NOS1","0.9962"
"BARD1","PCNA","0.9962"
"EIF4EBP1","BUB1","0.9962"
"GNAO1","RGS20","0.9962"
"CPEB1","DYNLRB1","0.9962"
"GNAO1","SCN8A","0.9962"
"COL4A2","SAA1","0.9962"
"COL5A1","MAG","0.9962"
"COL5A1","LGALS3BP","0.9962"
"CDK1","ITPR1","0.9962"
"CABP1","PPP3R1","0.9962"
"JPH3","BGN","0.9962"
"COL1A1","MAG","0.9962"
"CDC42EP2","SNCA","0.9962"
"COL1A1","PKD1","0.9962"
"CLIC4","DNM1","0.9962"
"HK2","PRKCE","0.9962"
"BIRC5","KCNJ6","0.9962"
"MAD2L1","TP73","0.9962"
"PAK3","SNCA","0.9962"
"CHD4","TWIST1","0.9962"
"KIF11","TTK","0.9962"
"COL4A1","MAG","0.9962"
"DNM1","MAP3K10","0.9962"
"COL4A1","SAA1","0.9962"
"GPRASP1","OPRL1","0.9962"
"FBXL15","HECW1","0.9962"
"ADRA2A","GNAO1","0.9962"
"TNK2","HECW1","0.9962"
"ID3","IFI16","0.9962"
"CDKN2C","TP53","0.9961"
"CFB","C3","0.9961"
"CDK4","PCNA","0.9961"
"CDK4","MCM2","0.9961"
"CCNB2","MCM2","0.9961"
"CCNB2","CDKN1A","0.9961"
"CENPA","CENPF","0.9960"
"CENPA","FOXM1","0.9960"
"CDCA8","CDC20","0.9960"
"CDCA8","PLK1","0.9960"
"TP53","SNRPN","0.9960"
"AURKB","ZWINT","0.9960"
"CCNB2","PLK1","0.9960"
"CDK1","PLK4","0.9960"
"MMP14","MMP2","0.9960"
